"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","673b3fd26221dab5a11bb3d6","673b3fda6221dab5a11bcc37","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb41b","673b3fda6221dab5a11bcc38","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fda6221dab5a11bcad9","673b3fda6221dab5a11bcc38","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fda6221dab5a11bd16f","673b3fda6221dab5a11bcc38","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb38f","673b3fda6221dab5a11bcc39","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb275","673b3fda6221dab5a11bcc3a","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fda6221dab5a11bd452","673b3fda6221dab5a11bcc3a","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb42d","673b3fda6221dab5a11bcc3b","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fde6221dab5a11be136","673b3fda6221dab5a11bcc3b","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb299","673b3fda6221dab5a11bcc3c","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fde6221dab5a11be215","673b3fda6221dab5a11bcc3c","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb39a","673b3fda6221dab5a11bcc3d","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fd56221dab5a11bc386","673b3fda6221dab5a11bcc3d","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fda6221dab5a11bcf86","673b3fda6221dab5a11bcc3d","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb297","673b3fda6221dab5a11bcc3e","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb424","673b3fda6221dab5a11bcc3f","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb30a","673b3fda6221dab5a11bcc40","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb232","673b3fda6221dab5a11bcc41","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fd46221dab5a11bbddc","673b3fda6221dab5a11bcc41","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb391","673b3fda6221dab5a11bcc42","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb3e3","673b3fda6221dab5a11bcc43","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb470","673b3fda6221dab5a11bcc44","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skill","673b3fd56221dab5a11bc0ae","673b3fda6221dab5a11bcc44","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fd56221dab5a11bc5b0","673b3fda6221dab5a11bcc44","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fd46221dab5a11bb554","673b3fda6221dab5a11bcc45","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb291","673b3fda6221dab5a11bcc46","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb464","673b3fda6221dab5a11bcc47","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb229","673b3fda6221dab5a11bcc48","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb375","673b3fda6221dab5a11bcc49","skill","2024-11-18T13:23:57.961Z","2024-11-18T13:23:57.961Z"
"skillgroup","673b3fd26221dab5a11bb46c","673b3fda6221dab5a11bcc4a","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fda6221dab5a11bca42","673b3fda6221dab5a11bcc4a","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fd46221dab5a11bb70f","673b3fda6221dab5a11bcc4a","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skill","673b3fd46221dab5a11bb98e","673b3fda6221dab5a11bcc4a","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb323","673b3fda6221dab5a11bcc4b","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb387","673b3fda6221dab5a11bcc4c","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb391","673b3fda6221dab5a11bcc4d","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skillgroup","673b3fd26221dab5a11bb3b4","673b3fda6221dab5a11bcc4e","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
"skill","673b3fda6221dab5a11bcb38","673b3fda6221dab5a11bcc4e","skill","2024-11-18T13:24:04.473Z","2024-11-18T13:24:04.473Z"
"skillgroup","673b3fd26221dab5a11bb2c1","673b3fda6221dab5a11bcc4f","skill","2024-11-18T13:23:57.962Z","2024-11-18T13:23:57.962Z"
